index	#1 Label	#2 ImageID	#3 String	#3 String
100	depressed	100.jpg	This Amazing Photo Series Will Help You Understand What People With Anxiety Experience.	
101	depressed	101.jpg	New photos - playing around with trying to express anxiety and depression - what do people think?	
102	depressed	102.jpg	Murder unicorn. Umbracorn. ...Nathan Explosion as a unicorn.	
103	depressed	103.jpg	Because I needed some energy before I collapse on the floor	
104	depressed	104.jpg	"I don't know whether to laugh or cry right now? My dad has done this, and I honestly don't know what to say."	
105	depressed	105.jpg	Panicking so much this morning. Going out for the house for the first time since I've been in hospital.	
106	depressed	106.jpg	"She's perfect, I'm so jealous."	
107	depressed	107.jpg	The worst feeling.	
108	depressed	108.jpg	Panicking about camhs tomorrow!	
109	depressed	109.jpg	Anxiety is through the roof today.	
110	depressed	110.jpg	I've never gotten anywhere.	
111	depressed	111.jpg	What hurts the most?	
112	depressed	112.jpg	Eating makes me feel like a failure	
113	depressed	113.jpg	When I'm alone...	
114	depressed	114.jpg	I push people away when all I want is someone to hug me and tell me everything's gonna be okay	
115	depressed	115.jpg	It's been a long week &amp; I am physically drained	
116	depressed	116.jpg	Had enough of feeling this shit	
117	depressed	117.jpg	This is some Silent Hill bullshit right here.The Longdark	
118	depressed	118.jpg	It's hard to break and piece yourself back together. Depression ruins your heart for a while.	
119	depressed	119.jpg	"I don't want to feel like I am out of control or manic or numb, Prozac helps with that."	
120	depressed	120.jpg	Depression is like...	
6089	positive	6089.jpg	It is nice to have an entire day devoted to those that we care so much about.	
6090	positive	237.jpg	has been nominated for by Get in there and vote vote vote!	
6091	positive	238.jpg	discarded all the naughty nights for niceness.	
6092	positive	239.jpg	Lenox Caribbee Gravy Boat Attached Plate X-444 New Condition Retired HTF	
6093	positive	240.jpg	Taylor Lautner's Looking Huge!? His 2 Step Muscle Shredding System Is Flying Off The Shelves?	
6094	positive	241.jpg	CHAPO IS THE NEW BLACK	
6095	positive	242.jpg	Intrepid 2016 Elite goes 9-2-1 on the summer season. Way to rep the orange and Blue!	
6096	positive	243.jpg	Jennifer Lawrence gets seriously sexy at Comic-Con in a blue slit dress	
6097	positive	244.jpg	blurred clfiesz are sometimes better than the hq ones hahh	
6098	positive	245.jpg	For is Key to Memorable User Experiences [Podcast w/ Marc Boudria]	
6099	positive	246.jpg	Cheerful Tearful with original clothing - Full read by eBay	
6100	positive	247.jpg	Bachelorette fun. Looking to the future with optimism and cherishing memories made to last a lifetime	
6101	positive	248.jpg	"Twelve years ago today, Beyonc earned her first solo No.1 for Crazy In Love on Billboard Hot 100!"	
6102	positive	249.jpg	"Best detective story I've ever read"""	
6103	positive	250.jpg	How Author Teamwork Defeated Facebook. htt	
6104	positive	251.jpg	Salute to the hunger striker who defeated Israeli jails sacrificing his life for the sake of http:	
6105	positive	252.jpg	Share your support on 7/14. End the stigma of Depression and Anxiety. ht	
6106	positive	253.jpg	On Follow our projects board devoted to cool home office designs:	
6107	positive	254.jpg	Why are you feeling dismal? Take the quiz:	
6108	positive	255.jpg	David Beckham posted the CUTEST birthday tribute to his best girl	
6109	positive	256.jpg	"my 7yr old loves you, so was ecstatic to see this when visiting family near Harlow!! His face when he saw it"	
